,symbol
1860,IGLB
1861,IGM
1862,IGN
1863,IGOV
1864,IGPT
1865,IGRO
1866,IGSB
1867,IGTR
1868,IGV
1869,IGVT
1870,IHAK
1871,IHDG
1872,IHE
1873,IHF
1874,IHHFF
1875,IHHSF
1876,IHI
1877,IHRMF
1878,IHSFF
1879,IHY
1880,IHYD
1881,IHYF
1882,IHYV
1883,IIGD
1884,IIGV
1885,IIREF
1886,IISGF
1887,IIXFF
1888,IJAN
1889,IJH
1890,IJJ
1891,IJK
1892,IJR
1893,IJS
1894,IJT
1895,IJUL
1896,ILCB
1897,ILCG
1898,ILCV
1899,ILDR
1900,ILF
1901,ILIT
1902,ILTB
1903,IMATF
1904,IMBXF
1905,IMCB
1906,IMCG
1907,IMCV
1908,IMDVF
1909,IMFD
1910,IMFI
1911,IMFL
1912,IMFP
1913,IMLP
1914,IMOM
1915,IMSBF
1916,IMSEF
1917,IMSI
1918,IMSIF
1919,IMSXF
1920,IMTB
